State County Code,Year,ALAND,AWATER,INTPTLAT,INTPTLONG
13103,2016,1237247938,13536095,32.361711,-81.343337
13105,2016,909234534,59980940,34.116455,-82.841834
13107,2016,1762760538,24802077,32.591100,-82.299763
13109,2016,473613879,10376147,32.153083,-81.890153
13111,2016,1002509543,13561314,34.866543,-84.317331
13113,2016,503399106,12846193,33.412717,-84.493941
13115,2016,1320695431,22123140,34.263684,-85.213654
13117,2016,580408545,59629869,34.225143,-84.127435
13119,2016,677301814,12803554,34.375081,-83.228064
13121,2016,1364181802,19776815,33.790034,-84.468182
13123,2016,1103983377,12186837,34.690495,-84.454651
13125,2016,372284127,1847843,33.227491,-82.606913
13127,2016,1087272602,428512266,31.212746,-81.496517
13129,2016,921538730,5787828,34.509667,-84.873862
13131,2016,1177238816,14839279,30.875903,-84.245008
13133,2016,1003451714,48630004,33.576740,-83.166613
13135,2016,1114832015,16367873,33.959148,-84.023085
13137,2016,716754762,5917259,34.634392,-83.525875
13139,2016,1017306117,94561948,34.317588,-83.818497
13141,2016,1220058032,17479750,33.269220,-83.000465
13143,2016,730805105,2616000,33.795165,-85.220062
13145,2016,1201462484,23488475,32.731549,-84.912432
13147,2016,601908708,63583341,34.348733,-82.963290
13149,2016,766718985,13112095,33.291347,-85.137879
13151,2016,825198323,20445913,33.452947,-84.154021
13153,2016,972671938,11318719,32.458381,-83.662856
13155,2016,917793241,21758147,31.604306,-83.277037
13157,2016,879716843,8906081,34.130901,-83.562545
13159,2016,953541347,13727188,33.318169,-83.690142
13161,2016,856690608,11986249,31.811615,-82.636825
13163,2016,1363589115,8241829,33.058176,-82.420004
13165,2016,899449594,13452206,32.794563,-81.971524
13167,2016,784793325,9278537,32.694584,-82.663970
13169,2016,1020291685,3832666,33.020226,-83.562339
13171,2016,475262774,6046030,33.074460,-84.146721
13173,2016,479903182,37546562,31.038197,-83.063164
13175,2016,2090902574,28925938,32.393220,-82.926317
13177,2016,921722909,15318763,31.818419,-84.146681
13179,2016,1337285572,223252816,31.807458,-81.457871
13181,2016,544880787,121516946,33.792151,-82.448299
13183,2016,1037095172,8776467,31.749563,-81.742870
13185,2016,1284858630,37525413,30.833127,-83.268992
13187,2016,732793278,3273370,34.568135,-83.998906
13189,2016,666816637,23116292,33.482464,-82.473188
13191,2016,1099051830,387326537,31.488592,-81.372460
13193,2016,1037654069,13859152,32.362686,-84.051231
13195,2016,731184844,8484618,34.128526,-83.203737
13197,2016,947978206,3791374,32.359538,-84.529561
13199,2016,1298160992,10834086,33.029267,-84.667058
13201,2016,731466841,3216290,31.162908,-84.730386
13205,2016,1326293153,4504150,31.228997,-84.192038
13207,2016,1025912893,5603382,33.017435,-83.922938
13209,2016,620370460,13383238,32.172108,-82.533349
13211,2016,899645527,18817822,33.593474,-83.491049
13213,2016,892236349,5719645,34.797097,-84.737990
13215,2016,560530243,11873622,32.510197,-84.874946
13217,2016,704988509,18130753,33.544021,-83.855185
13219,2016,477395753,5305707,33.834125,-83.437728
13221,2016,1137034041,7839366,33.866806,-83.074081
13223,2016,808832045,5309331,33.921026,-84.867162
13225,2016,389190214,2676569,32.571324,-83.831978
13227,2016,601027938,1693768,34.456813,-84.490339
13229,2016,881051115,7910038,31.353988,-82.210427
13231,2016,559659552,8596853,33.090768,-84.386627
